,Hotel_Names,Address,City,Ratings,Votes,Prices,Features
338,OYO Townhouse 808 Royal Palms Shared Serviced Apartment,Goregaon East,['Mumbai'],['3.4'],['282'],₹3231, Reception  Power backup  24/7 check-in  
339,OYO Townhouse 799 Royal Palms Hotel - Lily Collection,"Near Aarey Colony, Goregaon",[],['3.3'],['345'],₹3233, Parking facility  Free Wifi  Power backup  
340,OYO Townhouse 781 Royal Palms Hotel,"On main street, Near Aarey Colony, Goregaon East",['Mumbai'],['3.4'],['511'],₹3210, Private entrance  Parking facility  Reception  
341,Townhouse 809 Royal Palms Hotel - Rose Collection,"Near Aarey Colony, Goregaon",['Mumbai'],['3.7'],['505'],₹3796, Parking facility  Reception  Free Wifi  
342,OYO Flagship Hotel King Residency ,Near Kurla Station West Opposite Bharat Talkies,['Mumbai'],['4.3'],['18'],₹2252, Free Wifi  Geyser  Power backup  
343,OYO Hotel Blue Executive Near Chhatrapati Shivaji International Airport,"On main street, Near Saki Vihar complex, Sakinaka,Mumbai",['Mumbai'],['4.1'],['1484'],₹1869, AC  TV  Queen Sized Bed 
344,OYO 75954 Neelkamal,"Near BKC, Umarshi Bappa Chowk, Chembur ",['Mumbai'],['4.3'],['451'],₹2907, Reception  Free Wifi  Caretaker  
345,OYO Flagship 81149 Hotel Chembur Residency,chembur Mumbai,"['Mumbai', 'Mumbai']",['3.8'],['115'],₹2020, Free Wifi  Geyser  Power backup  
346,Collection O Hotel Kiwi International Near Chhatrapati Shivaji International Airport,Andheri East,['Mumbai'],['3.9'],['208'],₹2446, Elevator  Free Wifi  Geyser  
347,OYO Druv's Taj Palace Near Chhatrapati Shivaji International Airport,"Near Asalpha Metro Station, Dhumai Estate",['Mumbai'],['3.5'],['526'],₹2249, Free Wifi  CCTV cameras  AC  
348,OYO Anjali Hotel Mumbai,"Near Kanti Nagar, Andheri East",['Mumbai'],['3.5'],['383'],₹1759, Reception  Free Wifi  Geyser  
349,Townhouse 878 The Unicontinental 2,"9A Rajkutir, 3rd Road,next to Doolally Taproom,next to Khar railway station, Khar West",[],['5.0'],['226'],₹3425, Reception  Free Wifi  Caretaker  
350,OYO Flagship 23259 Hotel Galaxy Inn,"Near Takshila Police Station, Andheri East",['Mumbai'],['3.6'],['29'],₹2179, Free Wifi  Power backup  Card payment  
351,OYO Hotel S K Palace Near Carnival Cinemas Imax,"hop No 39 Shivaji Market, CG Rd, opposite Krishna Restaurant, Chembur Colony",[],['3.5'],['142'],₹1956, AC  Attached Washroom  TV  
352,Townhouse 877 The Unicontinental,"9A Rajkutir, 3rd Road,next to Doolally Taproom,next to Khar railway station, Khar West",[],['4.5'],['259'],₹3446, Reception  Caretaker  Power backup  
353,OYO Hotel Airport Metro Near Chhatrapati Shivaji International Airport,Andheri East,['Mumbai'],['3.5'],['682'],₹2953, Hair Dryer  Free Wifi  Garden/Backyard  
354,OYO Flagship Hotel Capetown Near Versova Beach,Andheri Westnull,['Mumbai'],['4.0'],['24'],₹2126, Elevator  Reception  Free Wifi  
355,Collection O 61246 Hotel De Meridian Near Versova Beach,Mumbai Suburbannull,"['Mumbai', 'Mumbai']",['2.8'],['73'],₹2174, Parking facility  Reception  Free Wifi  
356,Collection O Collection O Hotel Jayshree Domestic Airport,Vile Parle East,['Mumbai'],['3.6'],['523'],₹3242, Private entrance  Reception  Free Wifi  
357,Collection O 815331 Hotel Galaxy Shelter,Prabhadevi. Appasaheb Marathe Marg,['Mumbai'],['3.6'],['10'],₹3902, Elevator  Free Wifi  Geyser  
358,Capital O Hotel Pearl Near US Embassy,"Near Wajan Kata Bus Stop, Indira Nagar",['Mumbai'],['3.3'],['160'],₹2896, Free Wifi  CCTV cameras  Card payment  
359,OYO Townhouse 810 Royal Palms Hotel - Daisy Collection,Goregaon,['Mumbai'],['3.6'],['494'],₹3773, Parking facility  Free Wifi  Power backup  
360,OYO Hotel Ak Palace Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Sainaka",['Mumbai'],['3.1'],['254'],, Free Wifi 
361,OYO Flagship Raj Hotel Near Juhu Beach,Santacruz,['Mumbai'],['3.1'],['191'],, Free Wifi  Geyser  Power backup  
