,Hotel_Names,Address,City,Ratings,Votes,Prices,Features
215,OYO Hotel Crown Continental Near Sarai Rohilla Railway Station,11005,['Delhi'],['3.7'],['200'],₹1361, AC  TV 
216,OYO Hotel Samrat ,Seelampur,['Delhi'],['4.2'],['13'],₹1476, Free Wifi  Geyser  Power backup  
217,OYO Flagship Hotel Raas Near Near Laxmi nagar metro station,G-79,[],['4.0'],['363'],₹1353, Free Wifi  Geyser  Power backup  
218,Townhouse 511 Prakash continental Near Netaji Subhash Place Metro Station,Netaji Subash Palace,['Delhi'],['4.2'],['415'],₹1728, Ticket tour assistance  Reception  Free Wifi  
219,OYO Flagship Hotel Iconic Residency,Param Puri,['Delhi'],['3.7'],['37'],₹1476, Free Wifi  Geyser  Power backup  
220,OYO Dream Palace Near Laxmi Nagar Metro,Laxmi Nagar,['Delhi'],['3.5'],['290'],₹1115, AC  AC  TV  
221,OYO Flagship Hotel Dream Palace Near V3S Mall,110051,['Delhi'],['3.7'],['164'],₹1232, Reception  Free Wifi  Caretaker  
222,Collection O Shalimar Bagh Near Haiderpur Metro Station,Shalimar Village,['Delhi'],['3.4'],['1743'],₹1299, Free Wifi  AC  TV 
223,Flagship Hotel City Inn Dx,"Near RK ASHRAM, Basant Road Railway Colony",['Delhi'],['3.4'],['610'],₹1287, Reception  Free Wifi  Bedside Table / Desk  
224,OYO 74753 Sushma Ssadan,Sawan Park Ashok Vihar Phase 3 Model Town Tehsil,['Delhi'],['3.5'],['429'],₹1225, AC  TV 
225, Flagship Padam Residency Near Laxmi Nagar metro ,Shakarpur Khas Near Inferno Gym Block U,['Delhi'],['3.5'],['364'],₹1112, Geyser  Power backup  AC  
226,Flagship Sr Residency Near CCD,Block B,['Delhi'],['3.5'],['317'],₹1232, Geyser  Power backup  AC  
227,Collection O Iconic Residency Near Gurudwara Shri Bangla Sahib,Rajendra Nagarnullnull,['Delhi'],['3.5'],['374'],₹1420, Reception  Free Wifi  Caretaker  
228,OYO 74596 Dream Town Near V3S Mall,Shahdara,['Delhi'],['4.0'],['451'],₹1383, AC  TV  Queen Sized Bed 
229,OYO Pari Residency,New Delhi,"['Delhi', 'Delhi']",['3.5'],['86'],₹1161, AC  AC  TV  
230,OYO Hotel City Castle,"Near Karol Bagh, Nai Walan",['Delhi'],['4.0'],['1358'],₹1597, Elevator  Free Wifi  Geyser  
231,OYO Flagship 815278 Dream Stay,New delhi,['Delhi'],['3.6'],['66'],₹1232, Elevator  Free Wifi  Geyser  
232,Super OYO Collection O Model Town Metro View Near Model Town Metro Station,Near Model Town Metro Station,['Delhi'],['4.1'],['894'],₹1723, AC  TV 
233,OYO Flagship Decent Guest House ,Khazoori Khas Behind Bikaner sweets,['Delhi'],['5.0'],['5'],₹1233, Free Wifi  Geyser  Power backup  
234,OYO Hotel New Tech India,"Near Jhandewalan, Nai Walan",['Delhi'],['3.8'],['369'],₹1238, AC  TV  King Sized Bed  
235,OYO Flagship Hotel Diva,main road Vishwas Nagar  near karkardooma court and metro station,['Delhi'],['4.6'],['22'],₹1476, Free Wifi  Geyser  Power backup  
